date,year,decade,opponent,is_home,venue_type,city,country,tournament,competition_group,goals_for,goals_against,goal_diff,result,points
1914-09-20,1914,1910,Argentina,False,Fora,Buenos Aires,Argentina,Friendly,Amistoso,0,3,-3,Derrota,0
1914-09-27,1914,1910,Argentina,False,Fora,Buenos Aires,Argentina,Copa Roca,Outros Torneios,1,0,1,Vitória,3
1916-07-08,1916,1910,Chile,True,Neutro,Buenos Aires,Argentina,Copa América,Copa América,1,1,0,Empate,1
1916-07-10,1916,1910,Argentina,False,Fora,Buenos Aires,Argentina,Copa América,Copa América,1,1,0,Empate,1
1916-07-12,1916,1910,Uruguay,True,Neutro,Buenos Aires,Argentina,Copa América,Copa América,1,2,-1,Derrota,0
1916-07-18,1916,1910,Uruguay,False,Fora,Montevideo,Uruguay,Friendly,Amistoso,1,0,1,Vitória,3
1917-10-03,1917,1910,Argentina,False,Neutro,Montevideo,Uruguay,Copa América,Copa América,2,4,-2,Derrota,0
1917-10-07,1917,1910,Uruguay,False,Fora,Montevideo,Uruguay,Copa América,Copa América,0,4,-4,Derrota,0
1917-10-12,1917,1910,Chile,True,Neutro,Montevideo,Uruguay,Copa América,Copa América,5,0,5,Vitória,3
1917-10-16,1917,1910,Uruguay,False,Fora,Montevideo,Uruguay,Friendly,Amistoso,1,3,-2,Derrota,0
1919-05-11,1919,1910,Chile,True,Casa,Rio de Janeiro,Brazil,Copa América,Copa América,6,0,6,Vitória,3
1919-05-18,1919,1910,Argentina,True,Casa,Rio de Janeiro,Brazil,Copa América,Copa América,3,1,2,Vitória,3
1919-05-26,1919,1910,Uruguay,True,Casa,Rio de Janeiro,Brazil,Copa América,Copa América,2,2,0,Empate,1
1919-05-29,1919,1910,Uruguay,True,Casa,Rio de Janeiro,Brazil,Copa América,Copa América,1,0,1,Vitória,3
1919-06-01,1919,1910,Argentina,True,Casa,Rio de Janeiro,Brazil,Friendly,Amistoso,3,3,0,Empate,1
1920-09-11,1920,1920,Chile,False,Fora,Viña del Mar,Chile,Copa América,Copa América,1,0,1,Vitória,3
1920-09-18,1920,1920,Uruguay,True,Neutro,Viña del Mar,Chile,Copa América,Copa América,0,6,-6,Derrota,0
1920-09-25,1920,1920,Argentina,False,Neutro,Viña del Mar,Chile,Copa América,Copa América,0,2,-2,Derrota,0
1921-10-02,1921,1920,Argentina,False,Fora,Buenos Aires,Argentina,Copa América,Copa América,0,1,-1,Derrota,0
1921-10-12,1921,1920,Paraguay,True,Neutro,Buenos Aires,Argentina,Copa América,Copa América,3,0,3,Vitória,3
1921-10-23,1921,1920,Uruguay,True,Neutro,Buenos Aires,Argentina,Copa América,Copa América,1,2,-1,Derrota,0
1922-09-17,1922,1920,Chile,True,Casa,Rio de Janeiro,Brazil,Copa América,Copa América,1,1,0,Empate,1
1922-09-24,1922,1920,Paraguay,True,Casa,Rio de Janeiro,Brazil,Copa América,Copa América,1,1,0,Empate,1
1922-10-01,1922,1920,Uruguay,True,Casa,Rio de Janeiro,Brazil,Copa América,Copa América,0,0,0,Empate,1
1922-10-15,1922,1920,Argentina,True,Casa,Rio de Janeiro,Brazil,Copa América,Copa América,2,0,2,Vitória,3
1922-10-22,1922,1920,Argentina,True,Casa,São Paulo,Brazil,Copa Roca,Outros Torneios,2,1,1,Vitória,3
