opponent,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,ultimo_jogo,saldo_gols,aproveitamento_pct
Argentina,110,43,26,41,166,164,2025-03-25,2,47.0
Paraguay,84,50,22,12,183,68,2025-06-10,115,68.3
Uruguay,79,37,21,21,141,100,2024-11-19,41,55.7
Chile,76,55,13,8,174,62,2025-09-04,112,78.1
Peru,52,38,9,5,114,33,2024-10-15,81,78.8
Mexico,42,25,7,10,78,38,2024-06-08,40,65.1
Colombia,38,22,12,4,71,22,2025-03-20,49,68.4
Ecuador,36,27,7,2,98,24,2025-06-05,74,81.5
Bolivia,34,24,4,6,113,27,2025-09-09,86,74.5
Venezuela,30,24,5,1,98,11,2024-11-14,87,85.6
England,27,12,11,4,35,23,2024-03-23,12,58.0
Germany,23,13,5,5,41,31,2018-03-27,10,63.8
Portugal,21,14,3,4,41,17,2013-09-10,24,71.4
United States,20,18,1,1,42,13,2024-06-12,29,91.7
Czechoslovakia,17,9,6,2,27,14,1991-12-18,13,64.7
France,17,7,4,6,28,22,2026-03-26,6,49.0
Italy,16,8,3,5,30,23,2013-06-22,7,56.2
Sweden,15,10,3,2,35,17,2012-08-15,18,73.3
Yugoslavia,15,7,6,2,32,22,1991-10-30,10,60.0
Japan,15,12,2,1,39,9,2026-06-29,30,84.4
Russia,13,9,3,1,27,9,2018-03-23,18,76.9
Netherlands,12,3,5,4,15,18,2014-07-12,-3,38.9
Poland,12,9,2,1,37,19,1997-02-26,18,80.6
Costa Rica,12,10,1,1,34,9,2024-06-24,25,86.1
Scotland,11,9,2,0,19,3,2026-06-24,16,87.9
Spain,10,5,3,2,17,11,2024-03-26,6,60.0
Austria,10,7,3,0,17,5,2018-06-10,12,80.0
Switzerland,10,4,4,2,12,9,2022-11-28,3,53.3
Wales,10,8,1,1,20,5,2006-09-05,15,83.3
South Korea,9,8,0,1,25,6,2025-10-10,19,88.9
Australia,8,6,1,1,21,1,2017-06-13,20,79.2
Bulgaria,8,8,0,0,19,2,1991-05-28,17,100.0
Honduras,8,6,1,1,29,6,2019-06-09,23,79.2
Republic of Ireland,7,5,1,1,16,5,2010-03-02,11,76.2
Egypt,7,7,0,0,20,5,2026-06-06,15,100.0
Cameroon,7,5,0,2,12,3,2022-12-02,9,71.4
Croatia,6,4,2,0,11,4,2026-03-31,7,77.8
Serbia,6,5,1,0,9,1,2022-11-24,8,88.9
Turkey,6,4,2,0,10,3,2014-11-12,7,77.8
Belgium,5,3,0,2,11,8,2018-07-06,3,60.0
South Africa,5,5,0,0,12,3,2014-03-05,9,100.0
Hungary,5,2,0,3,12,14,2004-04-28,-2,40.0
Saudi Arabia,5,5,0,0,18,3,2018-10-12,15,100.0
Panama,5,4,1,0,21,3,2026-05-31,18,86.7
Ghana,5,5,0,0,16,2,2022-09-23,14,100.0
Denmark,4,3,0,1,10,10,2012-05-26,0,75.0
Catalonia,4,2,1,1,11,7,2004-05-25,4,58.3
Morocco,4,2,1,1,7,3,2026-06-13,4,58.3
German DR,4,3,1,0,10,4,1990-05-13,6,83.3
Norway,4,0,2,2,5,8,2006-08-16,-3,16.7
Haiti,4,4,0,0,20,1,2026-06-19,19,100.0
Canada,4,2,2,0,8,4,2008-05-31,4,66.7
Algeria,4,4,0,0,8,0,2007-08-22,8,100.0
New Zealand,3,3,0,0,10,0,2006-06-04,10,100.0
Jamaica,3,2,1,0,2,0,2003-10-12,2,77.8
Israel,3,3,0,0,11,1,1995-05-17,10,100.0
Finland,3,3,0,0,9,3,1992-04-15,6,100.0
China,3,2,1,0,12,0,2012-09-10,12,77.8
El Salvador,3,3,0,0,13,0,2018-09-12,13,100.0
Romania,3,3,0,0,6,2,2011-06-07,4,100.0
