date,home_team,away_team,winner,first_shooter,venceu_brasil
1986-06-21,Brazil,France,France,Brazil,False
1993-06-27,Brazil,Argentina,Argentina,Brazil,False
1994-07-17,Brazil,Italy,Brazil,Italy,True
1995-07-17,Brazil,Argentina,Brazil,Brazil,True
1995-07-23,Uruguay,Brazil,Uruguay,Uruguay,False
1998-07-07,Brazil,Netherlands,Brazil,Brazil,True
2004-07-21,Uruguay,Brazil,Brazil,Brazil,True
2004-07-25,Argentina,Brazil,Brazil,Argentina,True
2007-07-10,Uruguay,Brazil,Brazil,Brazil,True
2011-07-17,Brazil,Paraguay,Paraguay,Brazil,False
2012-11-21,Argentina,Brazil,Brazil,Argentina,True
2014-06-28,Brazil,Chile,Brazil,Brazil,True
2015-06-27,Brazil,Paraguay,Paraguay,Brazil,False
2019-06-27,Brazil,Paraguay,Brazil,Paraguay,True
2022-12-09,Croatia,Brazil,Croatia,Croatia,False
2024-07-06,Uruguay,Brazil,Uruguay,Uruguay,False
