edicao,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols
1930,2,1,0,1,5,2,3
1934,1,0,0,1,1,3,-2
1938,5,3,1,1,14,11,3
1950,6,4,1,1,22,6,16
1954,3,1,1,1,8,5,3
1958,6,5,1,0,16,4,12
1962,6,5,1,0,14,5,9
1966,3,1,0,2,4,6,-2
1970,6,6,0,0,19,7,12
1974,7,3,2,2,6,4,2
1978,7,4,3,0,10,3,7
1982,5,4,0,1,15,6,9
1986,5,4,1,0,10,1,9
1990,4,3,0,1,4,2,2
1994,7,5,2,0,11,3,8
1998,7,4,1,2,14,10,4
2002,7,7,0,0,18,4,14
2006,5,4,0,1,10,2,8
2010,5,3,1,1,9,4,5
2014,7,3,2,2,11,14,-3
2018,5,3,1,1,8,3,5
2022,5,3,1,1,8,3,5
2026,4,3,1,0,9,2,7
